First Name	Last Name	Birthday
George	Washington	2/22/1732
John	Adams	10/30/1735
Thomas	Jefferson	4/13/1743
James	Madison	3/16/1751
James	Monroe	4/28/1758
John Quincy	Adams	7/11/1767
Andrew	Jackson	3/15/1767
Martin	Van Buren	12/5/1782
William Henry	Harrison	2/9/1773
John	Tyler	3/29/1790
James K.	Polk	11/2/1795
Zachary	Taylor	11/24/1784
Millard	Fillmore	1/7/1800
Franklin	Pierce	11/23/1804
James	Buchanan	4/23/1791
Abraham	Lincoln	2/12/1809
Andrew	Johnson	12/29/1808
Ulysses S.	Grant	4/27/1822
Rutherford B.	Hayes	10/4/1822
James A.	Garfield	11/19/1831
Chester A.	Arthur	10/5/1829
Grover	Cleveland	3/18/1837
Benjamin	Harrison	8/20/1833
William	McKinley	1/29/1843
Theodore	Roosevelt	10/27/1858
William Howard	Taft	9/15/1857
Woodrow	Wilson	12/28/1856
Warren G.	Harding	11/2/1865
Calvin	Coolidge	7/4/1872
Herbert	Hoover	8/10/1874
Franklin D.	Roosevelt	1/30/1882
Harry S	Truman	5/8/1884
Dwight D.	Eisenhower	10/14/1890
John	Kennedy	5/29/1917
Lyndon B.	Johnson	8/27/1908
Richard M.	Nixon	1/9/1913
Gerald R.	Ford	7/14/1913
Jimmy	Carter	10/1/1924
Ronald	Reagan	2/6/1911
George H. W.	Bush	6/12/1924
William J.	Clinton	8/19/1946
George W.	Bush	7/6/1946
Barack Hussein	Obama	8/4/1961
