Title	Artist	Genre
Above All	Michael W. Smith	Gospel & Religious
Above All	Michael W. Smith	Gospel & Religious
Abrácense, Millones Vals Op.443	Orchestra Of The Vienna Volksoper	Classical
Abrazame	Julio Iglesias	Latin
Abundance	Govi	New Age
Abundance	Govi	World
Abundance	Govi	New Age
Achy Breaky Heart	Billy Ray Cyrus	Country
Across The Golden Gate	Acoustic Alchemy	New Age
Across The Water	Linda Eder	Easy Listening
Adagio	Wolfgang Amadeus Mozart	Classical
Adagio - Allegro	Nikolaus Harnoncourt	Classical
Adagio molto - Vivace	Nikolaus Harnoncourt	Classical
Adelante!	Culture Beat	Electronica/Dance
Adeste Fideles	Robert Shaw: Shaw Chamber Singers	Holiday
Ae, Ao	Julio Iglesias	Latin
Aegean Wave	Suzanne Ciani	New Age
Afer Ventus	Enya	New Age
Africa Bamba	Santana	Rock
After All These Years	Jim Brickman & Anne Cochran	New Age
After The Fall	Journey	Rock
Against The Wind	David London	New Age
Agnus Dei	Michael W. Smith	Gospel & Religious
Agnus Dei	Michael W. Smith	Gospel & Religious
Agua Dulce, Agua Salá	Julio Iglesias	Latin
The Air That I Breathe	Julio Iglesias & The Beach Boys	Easy Listening
Airwave (Rank 1 Vs. Dutch Force Remix)	Rank 1	Electronica/Dance
Alejate	Josh Groban	Classical
Alive Again	Cher	Electronica/Dance
All At Once	Whitney Houston	R&B
All For Love	Bryan Adams	Rock
All Hail The Power Of Jesus' Name	Hymns	Gospel & Religious
All Hail The Power Of Jesus' Name	Tommy Coomes Band	Gospel & Religious
All I Ask Of You	Phantom Of The Opera Cast	Soundtrack
All I Ask Of You	Sarah Brightman & Cliff Richard	Pop
All I Ever Have To Be	Amy Grant	Gospel & Religious
All I Know Of Love	Barbra Streisand, Josh Groban	Easy Listening
All I Need	Richard Elliot	Jazz
All Is Well	John Adorney	Jazz
All Of You	Julio Iglesias	Latin
All Or Nothing	Cher	Electronica/Dance
All Out Of Love	Air Supply	Easy Listening
All That I Need Is You	Amy Grant	Gospel & Religious
All The Man That I Need	Whitney Houston	R&B
All The Way	Frank Sinatra & Celine Dion	Pop
All The Way My Savior Leads Me	Hymns	Gospel & Religious
Alle Jahre wieder	Various Artists	Holiday
Alle Jahre wieder / Fröhliche Weihnacht überall / Kling Glöckchen	Fischer Chöre	Holiday
Allegheny Moon	Anne Murray	Country
Allegria	Chris Spheeris	New Age
Alleluia	Robert Shaw: Shaw Chamber Singers	Holiday
Alleluja	Sarah Brightman	Pop
Alles Auf Sieg	Bernhard Brink	Unclassifiable
Allura	Chris Spheeris	New Age
Almighty	Wayne Watson	Gospel & Religious
Almost A Whisper	Yanni	New Age
Almost A Whisper (Yanni)	Steven C.	New Age
Always	Chris Spheeris	New Age
Always And Forever	Danny Wright	New Age
Always On My Mind	Willie Nelson	Country
Always You [Bonus Remix]	Jennifer Paige	Pop
Am I Close Enough	Soul Ballet	Jazz
Am I Close Enough	Soul Ballet	Jazz
Amazing Grace	Charlotte Church	Classical
Amazing Grace	Diana Ross	Holiday
Amazing Grace	Guideposts	Books & Spoken
Amazing Grace	José Carreras, Natalie Cole & Plácido Domingo	Holiday
